line,operating_period,day_type,route,calendar_year,calendar_year_month,calendar_week_start,calendar_day,day_of_the_week,calendar_month,planned_mileage
blue,18N,sunday,001,2019,2019-01,2018-12-31,2019-01-06,sunday,1,15810.0
blue,18N,fourth holiday period,001,2019,2019-01,2018-12-31,2019-01-02,wednesday,1,15810.0
blue,18N,saturday,001,2019,2019-01,2018-12-31,2019-01-05,saturday,1,16315.92
blue,18N,weekday,001,2019,2019-01,2018-12-31,2019-01-03,thursday,1,26940.24
blue,18N,weekday,001,2019,2019-01,2018-12-31,2019-01-04,friday,1,26940.24
blue,18N,third holiday period,001,2019,2019-01,2018-12-31,2019-01-01,tuesday,1,14039.28
blue,19J,sunday,001,2019,2019-01,2019-01-07,2019-01-13,sunday,1,15810.0
blue,19J,sunday,001,2019,2019-01,2019-01-14,2019-01-20,sunday,1,15810.0
blue,19J,sunday,001,2019,2019-01,2019-01-21,2019-01-27,sunday,1,15810.0
blue,19J,sunday,001,2019,2019-02,2019-01-28,2019-02-03,sunday,2,15810.0
blue,19J,sunday,001,2019,2019-02,2019-02-04,2019-02-10,sunday,2,15810.0
blue,19J,sunday,001,2019,2019-02,2019-02-11,2019-02-17,sunday,2,15810.0
blue,19J,sunday,001,2019,2019-02,2019-02-18,2019-02-24,sunday,2,15810.0
blue,19J,sunday,001,2019,2019-03,2019-02-25,2019-03-03,sunday,3,15810.0
blue,19J,sunday,001,2019,2019-03,2019-03-04,2019-03-10,sunday,3,15810.0
blue,19J,sunday,001,2019,2019-03,2019-03-11,2019-03-17,sunday,3,15810.0
blue,19J,sunday,001,2019,2019-03,2019-03-18,2019-03-24,sunday,3,15810.0
blue,19J,saturday,001,2019,2019-01,2019-01-07,2019-01-12,saturday,1,16315.92
blue,19J,saturday,001,2019,2019-01,2019-01-14,2019-01-19,saturday,1,16315.92
blue,19J,saturday,001,2019,2019-01,2019-01-21,2019-01-26,saturday,1,16315.92
blue,19J,saturday,001,2019,2019-02,2019-01-28,2019-02-02,saturday,2,16315.92
blue,19J,saturday,001,2019,2019-02,2019-02-04,2019-02-09,saturday,2,16315.92
blue,19J,saturday,001,2019,2019-02,2019-02-11,2019-02-16,saturday,2,16315.92
blue,19J,saturday,001,2019,2019-02,2019-02-18,2019-02-23,saturday,2,16315.92
blue,19J,saturday,001,2019,2019-03,2019-02-25,2019-03-02,saturday,3,16315.92
blue,19J,saturday,001,2019,2019-03,2019-03-04,2019-03-09,saturday,3,16315.92
blue,19J,saturday,001,2019,2019-03,2019-03-11,2019-03-16,saturday,3,16315.92
blue,19J,saturday,001,2019,2019-03,2019-03-18,2019-03-23,saturday,3,16315.92
blue,19J,weekday,001,2019,2019-01,2019-01-07,2019-01-07,monday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-07,2019-01-08,tuesday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-07,2019-01-09,wednesday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-07,2019-01-10,thursday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-07,2019-01-11,friday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-14,2019-01-14,monday,1,26940.24
blue,19J,weekday,001,2019,2019-01,2019-01-14,2019-01-15,tuesday,1,26940.24
